,city,iso3,lat,lon,FREQ,1st arrival,1st arrival transport,2nd arrival,2nd arrival transport,3rd arrival,3rd arrival transport,4th arrival,4th arrival transport
130,Yogyakarta,IDN,-7.8014,110.3644,1,2023-07-22,F,,,,,,
131,George Town (Penang),MYS,5.4144,100.3292,1,2023-07-26,F,,,,,,
132,Kuah (Langkawi),MYS,6.3167,99.85,1,2023-07-27,F,,,,,,
133,Siem Reap,KHM,13.3622,103.8597,1,2023-07-28,F,,,,,,
134,Bangkok,THA,13.7525,100.4942,3,2022-03-16,A,2023-07-30,F,2023-10-23,F,,
135,Chiang Mai,THA,18.7953,98.9986,1,2023-08-01,F,,,,,,
136,Tokyo,JPN,35.6897,139.6922,1,2023-08-03,F,,,,,,
137,Osaka,JPN,34.6939,135.5022,1,2023-08-09,F,,,,,,
138,Singapore,SGP,1.3,103.8,1,2023-08-14,F,,,,,,
139,Kota Kinabalu,MYS,5.975,116.0725,1,2023-08-15,F,,,,,,
140,Johor Bahru,MYS,1.4556,103.7611,1,2023-08-17,F,,,,,,
141,Seoul,KOR,37.56,126.99,1,2023-09-30,F,,,,,,
142,Muscat,OMN,23.6139,58.5922,1,2023-11-05,F,,,,,,
143,Abu Dhabi,ARE,24.4667,54.3667,1,2023-11-07,F,,,,,,
144,Samarkand,UZB,39.6547,66.9758,1,2023-11-09,F,,,,,,
145,Almaty,KAZ,43.24,76.915,1,2023-11-11,F,,,,,,
146,Astana (Nur-Sultar),KAZ,51.1472,71.4222,1,2023-11-13,F,,,,,,
147,Valencia,ESP,39.47,-0.3764,1,2023-12-23,F,,,,,,
148,Sevilla,ESP,37.39,-5.99,1,2023-12-24,F,,,,,,
149,Malaga,ESP,36.7194,-4.42,1,2023-12-29,T,,,,,,
150,Amsterdam,NLD,52.3728,4.8936,2,2018-01-26,A,2024-01-28,F,,,,
151,Victoria (Mahe),SYC,-4.6231,55.4525,1,2024-01-29,F,,,,,,
152,The Hague (Den Haag),NLD,52.08,4.31,1,2020-02-24,T,,,,,,
153,Genoa,ITA,44.4111,8.9328,1,2022-04-15,T,,,,,,
154,Colmar,FRA,48.0817,7.3556,1,2021-11-01,B,,,,,,
