,Date,Flight number,From,Iata_from,From_lat,From_lon,To,Iata_to,To_lat,To_lon,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id
205,2024-06-16,MU505,Shanghai / Pudong (PVG/ZSPD),PVG,31.1434,121.805,Hong Kong / Hong Kong International (HKG/VHHH),HKG,22.3089,113.915,16:20:00,19:05:00,02:45:00,China Eastern Airlines (MU/CES),Airbus A320-200 (A320),,,0,0,0,,3653,1135,178,2059
206,2024-03-24,AF381,Beijing / Peking-Capital (PEK/ZBAA),PEK,40.0725,116.598,Paris / Charles de Gaulle (CDG/LFPG),CDG,49.0097,2.54778,23:55:00,05:55:00,13:00:00,Air France (AF/AFR),Boeing 787-9 (B789),F-HRBC,15A,1,0,0,,2292,509,34,2088
207,2024-03-25,AF1340,Paris / Charles de Gaulle (CDG/LFPG),CDG,49.0097,2.54778,Amsterdam / Schiphol (AMS/EHAM),AMS,52.3086,4.76389,08:05:00,09:30:00,01:25:00,Air France (AF/AFR),Airbus A321-200 (A321),F-GTAJ,10F,1,0,0,,509,122,34,2076
208,2024-03-25,HV5585,Amsterdam / Schiphol (AMS/EHAM),AMS,52.3086,4.76389,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,13:20:00,15:15:00,01:55:00,Transavia Holland (HV/TRA),Boeing 737-800 (B738),PH-HXJ,29A,1,0,0,,122,2027,787,231
209,2024-03-09,CA8992,Beijing / Peking-Capital (PEK/ZBAA),PEK,40.0725,116.598,Dalian / Zhoushuizi (DLC/ZYTL),DLC,38.9657,121.539,13:50:00,15:15:00,01:25:00,Dalian Airlines (/CCD),Boeing 737-800 (B738),B-5197,15A,1,0,0,,2292,720,2563,231
210,2024-03-08,KL897,Amsterdam / Schiphol (AMS/EHAM),AMS,52.3086,4.76389,Beijing / Peking-Capital (PEK/ZBAA),PEK,40.0725,116.598,16:15:00,09:55:00,11:40:00,KLM Royal Dutch Airlines (KL/KLM),Boeing 787-9 (B789),PH-BHN,17D,3,0,0,,122,2292,440,2088
211,2024-03-24,CZ6127,Dalian / Zhoushuizi (DLC/ZYTL),DLC,38.9657,121.539,Beijing / Beijing Daxing International Airport (PKX/ZBAD),PKX,39.509167,116.410556,18:45:00,20:15:00,01:30:00,China Southern Airlines (CZ/CSN),Airbus A321-200 (A321),B-6979,49F,1,0,0,,720,9280,207,2076
212,2024-10-25,AF7311,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,Paris / Charles de Gaulle (CDG/LFPG),CDG,49.0097,2.54778,18:25:00,20:00:00,01:35:00,Air France (AF/AFR),Airbus A320-200 (A320),,,0,0,0,,2027,509,34,2059
213,2024-10-25,AF188,Paris / Charles de Gaulle (CDG/LFPG),CDG,49.0097,2.54778,Hong Kong / Hong Kong International (HKG/VHHH),HKG,22.3089,113.915,23:20:00,17:20:00,12:00:00,Air France (AF/AFR),Airbus A350-900 (A359),,,0,0,0,,509,1135,34,2110
214,2024-11-11,GA822,Jakarta / Soekarno Hatta (CGK/WIII),CGK,-6.12556,106.656,Singapore / Changi (SIN/WSSS),SIN,1.35019,103.994,19:00:00,21:45:00,01:45:00,Garuda Indonesia (GA/GIA),Airbus A330-300 (A333),,,0,0,0,,534,2672,327,31
215,2024-11-12,KL836,Singapore / Changi (SIN/WSSS),SIN,1.35019,103.994,Amsterdam / Schiphol (AMS/EHAM),AMS,52.3086,4.76389,01:40:00,08:30:00,13:50:00,KLM Royal Dutch Airlines (KL/KLM),Boeing 777-300ER (B77W),,,0,0,0,,2672,122,440,2023
