,Date,Flight number,From,Iata_from,From_lat,From_lon,To,Iata_to,To_lat,To_lon,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id
30,2021-07-12,W61843,Wroclaw / Strachowice (WRO/EPWR),WRO,51.1027,16.8858,Lviv / Danylo Halytskyi International (LWO/UKLL),LWO,49.8125,23.9561,11:00:00,13:10:00,01:10:00,Wizz Air (W6/WZZ),Airbus A320-200 (A320),HA-LWO,,0,0,0,,3235,1720,859,2059
31,2021-07-11,W62826,Ohrid / Ohrid (OHD/LWOH),OHD,41.18,20.7423,Vienna / Schwechat (VIE/LOWW),VIE,48.1103,16.5697,08:20:00,10:05:00,01:45:00,Wizz Air (W6/WZZ),Airbus A321-200 (A321),HA-LTC,,0,0,0,,2165,3179,859,2076
32,2021-07-07,W63858,Rome / Ciampino (CIA/LIRA),CIA,41.799361,12.594936,Tirana / Rinas (TIA/LATI),TIA,41.4147,19.7206,17:40:00,19:00:00,01:20:00,Wizz Air (W6/WZZ),Airbus A321neo (A21N),HA-LVJ,,0,0,0,,551,2922,859,2128
33,2021-07-07,FR4855,Catania / Fontanarossa (CTA/LICC),CTA,37.4668,15.0664,Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),FCO,41.8003,12.2389,08:25:00,09:50:00,01:25:00,Malta Air (AL/MAY),Boeing 737-800 (B738),9H-QBQ,,0,0,0,,625,872,2723,231
34,2021-07-05,U21671,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,Catania / Fontanarossa (CTA/LICC),CTA,37.4668,15.0664,06:00:00,07:45:00,01:45:00,easyJet Europe (EC/EJU),Airbus A320-200 (A320),OE-ICI,,0,0,0,,2027,625,2665,2059
35,2021-06-07,U23991,Paris / Charles de Gaulle (CDG/LFPG),CDG,49.0097,2.54778,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,07:30:00,09:05:00,01:35:00,easyJet Europe (EC/EJU),Airbus A320-200 (A320),OE-IZG,,0,0,0,,509,2027,2665,2059
36,2021-06-03,U24058,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,Paris / Orly (ORY/LFPO),ORY,48.7231,2.35944,10:55:00,12:30:00,01:35:00,easyJet Europe (EC/EJU),Airbus A319-100 (A319),OE-LQL,,0,0,0,,2027,2215,2665,2073
37,2021-03-05,U23995,Paris / Charles de Gaulle (CDG/LFPG),CDG,49.0097,2.54778,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,18:45:00,20:20:00,01:35:00,easyJet Europe (EC/EJU),Airbus A320-200 (A320),OE-IVT,,0,0,0,,509,2027,2665,2059
38,2021-01-01,U21383,Geneva / Cointrin (GVA/LSGG),GVA,46.2381,6.10895,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,15:25:00,16:25:00,01:00:00,Easyjet Switzerland (DS/EZS),Airbus A319-100 (A319),HB-JYK,,0,0,0,,1065,2027,290,2073
39,2020-12-25,TP932,Lisbon / Portela (LIS/LPPT),LIS,38.7813,-9.13592,Zurich / Kloten (ZRH/LSZH),ZRH,47.4647,8.54917,12:05:00,15:55:00,02:50:00,TAP Air Portugal (TP/TAP),Airbus A320-200 (A320),CS-TNU,,0,0,0,,1632,3548,753,2059
40,2020-12-21,TO4638,Nantes / Nantes Atlantique (NTE/LFRS),NTE,47.1532,-1.61073,Lisbon / Portela (LIS/LPPT),LIS,38.7813,-9.13592,16:30:00,17:35:00,02:05:00,Transavia.com France (TO/TVF),Boeing 737-800 (B738),F-GZHA,,0,0,0,,2111,1632,1397,231
