city;iso3;FREQ;1st arrival;1st arrival transport;2nd arrival;2nd arrival transport;3rd arrival;3rd arrival transport;4th arrival;4th arrival transport
Cairo;EGY;2;2021-08-12;B;2022-12-24;F;;;;
Giza;EGY;2;2021-08-12;B;2022-12-26;B;;;;
Alexandria;EGY;1;2021-08-04;F;;;;;;
Helsinki;FIN;1;2021-12-26;A;;;;;;
Hong Kong;HKG;2;2021-12-27;F;2023-07-17;F;;;;
Dubai;ARE;1;2022-03-17;F;;;;;;
Kerkyra (Corfu);GRC;1;2022-06-25;F;;;;;;
Sarande (Sarandë);ALB;1;2022-06-25;S;;;;;;
London;GBR;3;2017-06-28;A;2022-09-08;F;2022-10-01;F;;
Shannon;IRL;1;2022-09-24;F;;;;;;
Dublin;IRL;2;2022-09-24;B;2022-11-11;F;;;;
Limerick;IRL;1;2022-09-24;B;;;;;;
Edinburgh;GBR;1;2022-10-07;F;;;;;;
Naples;ITA;3;2023-01-01;F;2022-09-08;F;2022-10-01;F;;
Olbia;ITA;1;2023-04-28;F;;;;;;
Cagliari;ITA;1;2023-04-29;T;;;;;;
Tallinn;EST;1;2023-05-17;F;;;;;;
Stockholm;SWE;1;2023-05-19;F;;;;;;
Kuala Lumpur;MYS;1;2023-07-15;F;;;;;;
Macau;MAC;1;2023-07-20;B;;;;;;
Yogyakarta;IDN;1;2023-07-22;F;;;;;;
George Town (Penang);MYS;1;2023-07-26;F;;;;;;
Kuah (Langkawi);MYS;1;2023-07-27;F;;;;;;
Siem Reap;KHM;1;2023-07-28;F;;;;;;
Bangkok;THA;3;2022-03-16;A;2023-07-30;F;2023-10-23;F;;
Chiang Mai;THA;1;2023-08-01;F;;;;;;
Tokyo;JPN;1;2023-08-03;F;;;;;;
Osaka;JPN;1;2023-08-09;F;;;;;;
Singapore;SGP;1;2023-08-14;F;;;;;;
Kota Kinabalu;MYS;1;2023-08-15;F;;;;;;
Johor Bahru;MYS;1;2023-08-17;F;;;;;;
Seoul;KOR;1;2023-09-30;F;;;;;;
Muscat;OMN;1;2023-11-05;F;;;;;;
Abu Dhabi;ARE;1;2023-11-07;F;;;;;;
Samarkand;UZB;1;2023-11-09;F;;;;;;
Almaty;KAZ;1;2023-11-11;F;;;;;;
Astana (Nur-Sultar);KAZ;1;2023-11-13;F;;;;;;
Valencia;ESP;1;2023-12-23;F;;;;;;
Sevilla;ESP;1;2023-12-24;F;;;;;;
Malaga;ESP;1;2023-12-29;T;;;;;;
Amsterdam;NLD;2;2018-01-26;A;2024-01-28;F;;;;
Victoria (Mahe);SYC;1;2024-01-29;F;;;;;;
The Hague (Den Haag);NLD;1;2020-02-24;T;;;;;;
Genoa;ITA;1;2022-04-15;T;;;;;;
Colmar;FRA;1;2021-11-01;B;;;;;;
